Easting,Northing,rtk_elevation,Distance_along_transect,ALD,Tald,T5cm,SM,NDVI,FRB,ML,DRT,adem_20210927,lidar_202208_dtm,lidar_202208_dsm,lidar_201707_dtm,lidar_201707_dsm,TUSS,SDG,GRS,SHR,SW,class,Transect,Site,tgc3_group
410576.9596,7621714.591,,30.0,13.0,-0.4,3.4,51.9,0.38,0.0,0.0,0.0,781.4765625,,,,,0.0,0.5,0.0,0.5,0,it,TGC1-t1,TGC1,
410581.0313,7621711.697,,25.0,10.0,-0.4,3.5,50.6,0.51,0.0,0.1,0.0,781.1015625,,,,,0.0,0.2,0.0,0.7,0,vly,TGC1-t1,TGC1,
410581.8397,7621710.991,,24.0,14.0,-0.6,4.0,44.5,0.47,0.1,0.2,0.0,781.1015625,,,,,0.0,0.0,0.0,0.7,0,vly,TGC1-t1,TGC1,
410582.6677,7621710.346,,23.0,14.0,-0.5,5.8,46.9,0.47,0.1,0.2,0.0,781.046875,,,,,0.0,0.0,0.0,0.7,0,vly,TGC1-t1,TGC1,
410583.3873,7621709.775,,22.0,15.0,-0.4,6.6,49.7,0.46,0.05,0.5,0.0,780.9296875,,,,,0.0,0.25,0.0,0.2,0,vly,TGC1-t1,TGC1,
410584.3247,7621709.371,,21.0,16.0,-0.5,6.7,47.4,0.45,0.0,0.15,0.1,780.9296875,,,,,0.0,0.0,0.0,0.75,0,vly,TGC1-t1,TGC1,
410585.0701,7621708.854,,20.0,14.0,-0.3,7.6,41.3,0.4,0.0,0.0,0.3,780.8828125,,,,,0.0,0.0,0.0,0.7,0,vly,TGC1-t1,TGC1,
410585.9271,7621708.202,,19.0,16.0,-0.6,4.4,39.3,0.39,0.0,0.0,0.3,780.8203125,,,,,0.0,0.0,0.0,0.7,0,vly,TGC1-t1,TGC1,
410586.5555,7621707.674,,18.0,9.0,-0.6,1.0,,0.24,0.0,0.0,0.0,780.8203125,,,,,0.0,0.6,0.2,0.2,0,vly,TGC1-t1,TGC1,
410587.3205,7621707.174,,17.0,17.0,-0.6,2.0,,0.23,0.0,0.0,0.0,780.8125,,,,,0.0,0.8,0.2,0.0,1,vly,TGC1-t1,TGC1,
410588.1228,7621706.659,,16.0,15.0,-0.6,1.5,,0.14,0.0,0.0,0.0,780.8046875,,,,,0.0,0.8,0.2,0.0,1,vly,TGC1-t1,TGC1,
410588.9056,7621706.033,,15.0,9.0,-0.4,1.5,,0.24,0.0,0.0,0.0,780.8046875,,,,,0.0,0.8,0.2,0.0,1,chnl,TGC1-t1,TGC1,
410589.557,7621705.606,,14.0,2.0,-0.3,,44.5,0.2,0.0,0.0,0.1,780.84375,,,,,0.0,0.7,0.2,0.0,0,chnl,TGC1-t1,TGC1,
410590.3793,7621705.063,,13.0,1.0,-0.4,,44.1,0.24,0.0,0.5,0.0,780.8984375,,,,,0.3,0.0,0.0,0.2,0,chnl,TGC1-t1,TGC1,
410591.2844,7621704.455,,12.0,3.0,-0.4,,45.6,0.23,0.0,0.5,0.0,780.8984375,,,,,0.3,0.0,0.0,0.2,0,vly,TGC1-t1,TGC1,
410592.1348,7621703.807,,11.0,5.0,-0.4,-0.4,,0.26,0.0,0.5,0.0,780.9921875,,,,,0.3,0.0,0.0,0.2,1,vly,TGC1-t1,TGC1,
410592.9174,7621703.248,,10.0,5.0,-0.5,-0.5,44.7,0.24,0.0,0.4,0.0,781.0859375,,,,,0.4,0.0,0.0,0.2,0,vly,TGC1-t1,TGC1,
410593.6859,7621702.61,,9.0,5.0,-0.5,-0.5,,0.31,0.0,0.5,0.0,781.0859375,,,,,0.3,0.0,0.0,0.2,0,vly,TGC1-t1,TGC1,
410594.4618,7621702.056,,8.0,3.0,-0.4,,45.1,0.26,0.0,0.4,0.0,781.21875,,,,,0.4,0.0,0.0,0.2,0,vly,TGC1-t1,TGC1,
410595.1228,7621701.488,,7.0,4.0,-0.5,,50.4,0.43,0.0,0.0,0.0,781.3359375,,,,,0.5,0.0,0.15,0.35,0,vly,TGC1-t1,TGC1,
410595.9158,7621700.976,,6.0,8.0,-0.4,0.7,45.0,0.37,0.0,0.0,0.0,781.5,,,,,0.5,0.0,0.15,0.35,0,vly,TGC1-t1,TGC1,
410596.6604,7621700.552,,5.0,15.0,-0.5,1.4,44.6,0.41,0.0,0.0,0.0,781.5,,,,,0.6,0.0,0.15,0.25,0,it,TGC1-t1,TGC1,
410600.9188,7621697.65,,0.0,8.0,-0.4,1.4,,0.4,0.0,0.1,0.0,782.015625,,,,,0.4,0.0,0.0,0.5,0,it,TGC1-t1,TGC1,
410422.1648,7621524.566,,50.0,6.0,-0.5,0.4,50.7,0.49,0.0,0.3,,790.875,,,,,0.0,0.2,0.0,0.5,0,it,TGC1-t2,TGC1,
410426.5828,7621522.388,,45.0,6.0,-0.6,0.3,,0.34,0.1,0.25,,790.921875,,,,,0.0,0.4,0.0,0.25,1,it,TGC1-t2,TGC1,
410427.4438,7621521.912,,44.0,4.0,-0.4,,,0.28,0.0,0.15,,791.015625,,,,,0.0,0.55,0.0,0.3,1,it,TGC1-t2,TGC1,
410428.1666,7621521.518,,43.0,4.0,-0.4,,,0.29,0.0,0.15,,791.0,,,,,0.0,0.55,0.0,0.3,1,it,TGC1-t2,TGC1,
410429.0873,7621521.06,,42.0,6.0,-0.5,0.3,,0.37,0.15,0.1,,791.0,,,,,0.0,0.45,0.0,0.3,1,it,TGC1-t2,TGC1,
410429.9108,7621520.613,,41.0,9.0,-0.4,2.2,,0.36,0.15,0.1,,791.0859375,,,,,0.0,0.45,0.0,0.3,1,it,TGC1-t2,TGC1,
410430.8133,7621520.155,,40.0,6.0,-0.5,0.1,50.0,0.42,0.4,0.2,,791.0546875,,,,,0.0,0.3,0.1,0.1,0,wt,TGC1-t2,TGC1,
410431.6462,7621519.769,,39.0,10.0,-0.5,1.9,,0.35,0.15,0.1,,791.0546875,,,,,0.0,0.45,0.1,0.3,1,wt,TGC1-t2,TGC1,
410432.486,7621519.429,,38.0,7.0,-0.5,0.5,,0.32,0.0,0.05,,791.015625,,,,,0.0,0.8,0.0,0.15,1,wt,TGC1-t2,TGC1,
410433.4297,7621518.924,,37.0,9.0,-0.5,1.0,,0.29,0.0,0.05,,791.09375,,,,,0.0,0.8,0.0,0.15,1,wt,TGC1-t2,TGC1,
410434.4614,7621518.467,,36.0,7.0,-0.5,1.0,,0.29,0.0,0.05,,791.09375,,,,,0.0,0.8,0.0,0.15,1,wt,TGC1-t2,TGC1,
410435.3636,7621517.975,,35.0,6.0,-0.3,0.5,,0.26,0.0,0.05,,791.0390625,,,,,0.0,0.8,0.0,0.15,1,wt,TGC1-t2,TGC1,
410436.2337,7621517.535,,34.0,9.0,-0.3,2.4,,0.28,0.0,0.05,,791.109375,,,,,0.0,0.8,0.0,0.15,1,wt,TGC1-t2,TGC1,
410437.2762,7621517.091,,33.0,6.0,-0.3,0.6,,0.22,0.0,0.05,,791.046875,,,,,0.0,0.8,0.0,0.15,1,wt,TGC1-t2,TGC1,
410438.3796,7621516.57,,32.0,5.0,-0.4,-0.4,,0.31,0.2,0.15,,791.046875,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410439.2533,7621516.183,,31.0,8.0,-0.4,1.4,,0.32,0.2,0.15,,791.109375,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410440.0405,7621515.779,,30.0,9.0,-0.4,2.4,,0.26,0.2,0.15,,791.03125,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410440.9316,7621515.362,,29.0,8.0,-0.4,1.7,,0.28,0.2,0.15,,791.03125,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410441.9822,7621514.889,,28.0,4.0,-0.4,,,0.29,0.2,0.15,,791.0234375,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410442.9907,7621514.355,,27.0,9.0,-0.4,2.0,,0.34,0.2,0.15,,791.0234375,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410443.9311,7621513.887,,26.0,7.0,-0.4,0.3,,0.35,0.2,0.15,,790.953125,,,,,0.0,0.15,0.0,0.5,1,wt,TGC1-t2,TGC1,
410444.917,7621513.386,,25.0,5.0,-0.5,-0.5,,0.3,0.0,0.1,,791.03125,,,,,0.0,0.6,0.0,0.3,1,wt,TGC1-t2,TGC1,
410445.7835,7621512.985,,24.0,8.0,-0.4,0.8,,0.32,0.0,0.2,,791.03125,,,,,0.0,0.5,0.0,0.3,1,wt,TGC1-t2,TGC1,
